Clock,EUW - Play Description,Visiting Team Score,Home Team Score,CEN - Play Description,Score,Play
0:00,Jonelle Barron at goalie for Centre College.,,,,,Jonelle Barron at goalie for Centre College.
0:00,,,,Haley Pratt at goalie for Emory University.,,Haley Pratt at goalie for Emory University.
3:06,,,,Corner kick by Emory University Shivani Beall [03:06].,,Corner kick by Emory University Shivani Beall [03:06].
6:07,,,,"Shot by Emory University Shivani Beall, Wide.",,"Shot by Emory University Shivani Beall, Wide."
--,Foul on Centre College.,,,,,Foul on Centre College.
--,Foul on Centre College.,,,,,Foul on Centre College.
13:09,Centre College substitution: Brooke Smithson for Kennedy Cline.,,,,,Centre College substitution: Brooke Smithson for Kennedy Cline.
--,,,,Foul on Emory University.,,Foul on Emory University.
14:42,"Shot by Centre College Brooke Smithson, Blocked.",,,,,"Shot by Centre College Brooke Smithson, Blocked."
15:03,Corner kick by Centre College Alana Hughes [15:03].,,,,,Corner kick by Centre College Alana Hughes [15:03].
15:29,"Shot by Centre College Sarah Sirkin, Blocked.",,,,,"Shot by Centre College Sarah Sirkin, Blocked."
15:44,,,,Offside against Emory University.,,Offside against Emory University.
16:50,"GOAL by Centre College Sarah Sirkin (FIRST GOAL), Assist by Gracie Fitzgerald, goal number 6 for season.",1.0,0.0,,"CENTRE-W
                                                        1-0","GOAL by Centre College Sarah Sirkin (FIRST GOAL), Assist by Gracie Fitzgerald, goal number 6 for season."
--,*volly over goalie,,,,,*volly over goalie
--,,,,Foul on Emory University.,,Foul on Emory University.
18:20,,,,"Shot by Emory University Caroline Kolski, Save (by goalie) Jonelle Barron.",,"Shot by Emory University Caroline Kolski, Save (by goalie) Jonelle Barron."
20:19,Corner kick by Centre College Alana Hughes [20:19].,,,,,Corner kick by Centre College Alana Hughes [20:19].
21:01,Corner kick by Centre College Brooke Smithson [21:01].,,,,,Corner kick by Centre College Brooke Smithson [21:01].
22:16,"Shot by Centre College Sarah Sirkin, Save (by goalie) Haley Pratt.",,,,,"Shot by Centre College Sarah Sirkin, Save (by goalie) Haley Pratt."
22:57,,,,"Shot by Emory University Shivani Beall, High.",,"Shot by Emory University Shivani Beall, High."
23:09,,,,Emory University substitution: Arielle Williamson for Lindsey Breskow.,,Emory University substitution: Arielle Williamson for Lindsey Breskow.
25:00:00,Centre College substitution: Rilee Britton for Elizabeth Nelson.,,,,,Centre College substitution: Rilee Britton for Elizabeth Nelson.
25:02:00,,,,Emory University substitution: Tierney Lanter for Paige Santee.,,Emory University substitution: Tierney Lanter for Paige Santee.
25:32:00,,,,"Shot by Emory University Aubrey Blanchard, Wide.",,"Shot by Emory University Aubrey Blanchard, Wide."
26:27:00,Centre College substitution: Abby Carter for Abby Hegarty.,,,,,Centre College substitution: Abby Carter for Abby Hegarty.
26:54:00,,,,"Shot by Emory University Caroline Kolski, High.",,"Shot by Emory University Caroline Kolski, High."
29:11:00,,,,"Shot by Emory University Arielle Williamson, Save (by goalie) Jonelle Barron.",,"Shot by Emory University Arielle Williamson, Save (by goalie) Jonelle Barron."
30:29:00,"Shot by Centre College Alana Hughes, Save (by goalie) Haley Pratt.",,,,,"Shot by Centre College Alana Hughes, Save (by goalie) Haley Pratt."
30:45:00,"Shot by Centre College Meghan Paynter, High.",,,,,"Shot by Centre College Meghan Paynter, High."
30:58:00,Centre College substitution: Annie Stauffer for Meghan Paynter.,,,,,Centre College substitution: Annie Stauffer for Meghan Paynter.
30:58:00,Centre College substitution: Taylor Gebhart for Sarah Sirkin.,,,,,Centre College substitution: Taylor Gebhart for Sarah Sirkin.
--,,,,Foul on Emory University.,,Foul on Emory University.
31:56:00,"Header Shot by Centre College Alana Hughes, Wide.",,,,,"Header Shot by Centre College Alana Hughes, Wide."
32:48:00,,,,Emory University substitution: Sydney Rosenkrantz for Aubrey Blanchard.,,Emory University substitution: Sydney Rosenkrantz for Aubrey Blanchard.
33:30:00,,,,Emory University substitution: Natalie Klar for Caroline Kolski.,,Emory University substitution: Natalie Klar for Caroline Kolski.
33:30:00,,,,Emory University substitution: Samantha Agnew for Samantha Hilsee.,,Emory University substitution: Samantha Agnew for Samantha Hilsee.
33:54:00,,,,"Shot by Emory University Samantha Agnew, Save (by goalie) Jonelle Barron.",,"Shot by Emory University Samantha Agnew, Save (by goalie) Jonelle Barron."
36:10:00,"Shot by Centre College Alana Hughes, Save (by goalie) Haley Pratt.",,,,,"Shot by Centre College Alana Hughes, Save (by goalie) Haley Pratt."
--,,,,Foul on Emory University.,,Foul on Emory University.
37:08:00,"Header Shot by Centre College Alana Hughes, Save (by goalie) Haley Pratt.",,,,,"Header Shot by Centre College Alana Hughes, Save (by goalie) Haley Pratt."
37:40:00,,,,"Shot by Emory University Arielle Williamson, Wide.",,"Shot by Emory University Arielle Williamson, Wide."
38:33:00,Centre College substitution: Rachael Boule for Kristin Dean.,,,,,Centre College substitution: Rachael Boule for Kristin Dean.
--,,,,Foul on Emory University.,,Foul on Emory University.
--,,,,Foul on Emory University.,,Foul on Emory University.
42:08:00,Centre College substitution: Mills Mullen for Alana Hughes.,,,,,Centre College substitution: Mills Mullen for Alana Hughes.
42:55:00,Centre College substitution: Ashley Brangers for Brooke Smithson.,,,,,Centre College substitution: Ashley Brangers for Brooke Smithson.
43:28:00,Offside against Centre College.,,,,,Offside against Centre College.
44:56:00,"Shot by Centre College Taylor Gebhart, Wide.",,,,,"Shot by Centre College Taylor Gebhart, Wide."
45:00:00,End of period [45:00].,,,,,End of period [45:00].
45:00:00,Start of 2nd period [45:00].,,,,,Start of 2nd period [45:00].
