Clock,Away - Description,Visiting Team Score,Home Team Score,Home - Description,Score,Play,Period,Goalkeeper,Corner Kick Team,Corner Kick Player,Shot Team,Shot Player,Shot Result,Substitution Team,Substitution In,Substitution Out,Goal Team,Goal Scorer,Goal Assister,First Goal
0:00,Jonelle Barron at goalie for Centre College.,,,,,Jonelle Barron at goalie for Centre College.,1,Centre College.,,,,,,,,,,,,False
0:00,,,,Haley Pratt at goalie for Emory University.,,Haley Pratt at goalie for Emory University.,1,Emory University,,,,,,,,,,,,False
3:06,,,,Corner kick by Emory University Shivani Beall [03:06].,,Corner kick by Emory University Shivani Beall [03:06].,1,,University Shivani Beall,Emory,,,,,,,,,,False
6:07,,,,"Shot by Emory University Shivani Beall, Wide.",,"Shot by Emory University Shivani Beall, Wide.",1,,,,Emory,University Shivani Beall,Wide.,,,,,,,False
--,Foul on Centre College.,,,,,Foul on Centre College.,1,,,,,,,,,,,,,False
--,Foul on Centre College.,,,,,Foul on Centre College.,1,,,,,,,,,,,,,False
13:09,Centre College substitution: Brooke Smithson for Kennedy Cline.,,,,,Centre College substitution: Brooke Smithson for Kennedy Cline.,1,,,,,,,Centre College,Brooke Smithson,Kennedy Cline,,,,False
--,,,,Foul on Emory University.,,Foul on Emory University.,1,,,,,,,,,,,,,False
14:42,"Shot by Centre College Brooke Smithson, Blocked.",,,,,"Shot by Centre College Brooke Smithson, Blocked.",1,,,,Centre,College Brooke Smithson,Blocked.,,,,,,,False
15:03,Corner kick by Centre College Alana Hughes [15:03].,,,,,Corner kick by Centre College Alana Hughes [15:03].,1,,College Alana Hughes,Centre,,,,,,,,,,False
15:29,"Shot by Centre College Sarah Sirkin, Blocked.",,,,,"Shot by Centre College Sarah Sirkin, Blocked.",1,,,,Centre,College Sarah Sirkin,Blocked.,,,,,,,False
15:44,,,,Offside against Emory University.,,Offside against Emory University.,1,,,,,,,,,,,,,False
16:50,"GOAL by Centre College Sarah Sirkin (FIRST GOAL), Assist by Gracie Fitzgerald, goal number 6 for season.",1.0,0.0,,"CENTRE-W
                                                        1-0","GOAL by Centre College Sarah Sirkin (FIRST GOAL), Assist by Gracie Fitzgerald, goal number 6 for season.",1,,,,,,,,,,Away,Centre,Gracie Fitzgerald,True
--,*volly over goalie,,,,,*volly over goalie,1,,,,,,,,,,,,,False
--,,,,Foul on Emory University.,,Foul on Emory University.,1,,,,,,,,,,,,,False
18:20,,,,"Shot by Emory University Caroline Kolski, Save (by goalie) Jonelle Barron.",,"Shot by Emory University Caroline Kolski, Save (by goalie) Jonelle Barron.",1,,,,Emory,University Caroline Kolski,Save (by goalie) Jonelle Barron.,,,,,,,False
20:19,Corner kick by Centre College Alana Hughes [20:19].,,,,,Corner kick by Centre College Alana Hughes [20:19].,1,,College Alana Hughes,Centre,,,,,,,,,,False
21:01,Corner kick by Centre College Brooke Smithson [21:01].,,,,,Corner kick by Centre College Brooke Smithson [21:01].,1,,College Brooke Smithson,Centre,,,,,,,,,,False
22:16,"Shot by Centre College Sarah Sirkin, Save (by goalie) Haley Pratt.",,,,,"Shot by Centre College Sarah Sirkin, Save (by goalie) Haley Pratt.",1,,,,Centre,College Sarah Sirkin,Save (by goalie) Haley Pratt.,,,,,,,False
22:57,,,,"Shot by Emory University Shivani Beall, High.",,"Shot by Emory University Shivani Beall, High.",1,,,,Emory,University Shivani Beall,High.,,,,,,,False
23:09,,,,Emory University substitution: Arielle Williamson for Lindsey Breskow.,,Emory University substitution: Arielle Williamson for Lindsey Breskow.,1,,,,,,,Emory University,Arielle Williamson,Lindsey Breskow,,,,False
25:00:00,Centre College substitution: Rilee Britton for Elizabeth Nelson.,,,,,Centre College substitution: Rilee Britton for Elizabeth Nelson.,1,,,,,,,Centre College,Rilee Britton,Elizabeth Nelson,,,,False
25:02:00,,,,Emory University substitution: Tierney Lanter for Paige Santee.,,Emory University substitution: Tierney Lanter for Paige Santee.,1,,,,,,,Emory University,Tierney Lanter,Paige Santee,,,,False
25:32:00,,,,"Shot by Emory University Aubrey Blanchard, Wide.",,"Shot by Emory University Aubrey Blanchard, Wide.",1,,,,Emory,University Aubrey Blanchard,Wide.,,,,,,,False
26:27:00,Centre College substitution: Abby Carter for Abby Hegarty.,,,,,Centre College substitution: Abby Carter for Abby Hegarty.,1,,,,,,,Centre College,Abby Carter,Abby Hegarty,,,,False
26:54:00,,,,"Shot by Emory University Caroline Kolski, High.",,"Shot by Emory University Caroline Kolski, High.",1,,,,Emory,University Caroline Kolski,High.,,,,,,,False
29:11:00,,,,"Shot by Emory University Arielle Williamson, Save (by goalie) Jonelle Barron.",,"Shot by Emory University Arielle Williamson, Save (by goalie) Jonelle Barron.",1,,,,Emory,University Arielle Williamson,Save (by goalie) Jonelle Barron.,,,,,,,False
30:29:00,"Shot by Centre College Alana Hughes, Save (by goalie) Haley Pratt.",,,,,"Shot by Centre College Alana Hughes, Save (by goalie) Haley Pratt.",1,,,,Centre,College Alana Hughes,Save (by goalie) Haley Pratt.,,,,,,,False
30:45:00,"Shot by Centre College Meghan Paynter, High.",,,,,"Shot by Centre College Meghan Paynter, High.",1,,,,Centre,College Meghan Paynter,High.,,,,,,,False
30:58:00,Centre College substitution: Annie Stauffer for Meghan Paynter.,,,,,Centre College substitution: Annie Stauffer for Meghan Paynter.,1,,,,,,,Centre College,Annie Stauffer,Meghan Paynter,,,,False
30:58:00,Centre College substitution: Taylor Gebhart for Sarah Sirkin.,,,,,Centre College substitution: Taylor Gebhart for Sarah Sirkin.,1,,,,,,,Centre College,Taylor Gebhart,Sarah Sirkin,,,,False
--,,,,Foul on Emory University.,,Foul on Emory University.,1,,,,,,,,,,,,,False
31:56:00,"Header Shot by Centre College Alana Hughes, Wide.",,,,,"Header Shot by Centre College Alana Hughes, Wide.",1,,,,Centre,College Alana Hughes,Wide.,,,,,,,False
32:48:00,,,,Emory University substitution: Sydney Rosenkrantz for Aubrey Blanchard.,,Emory University substitution: Sydney Rosenkrantz for Aubrey Blanchard.,1,,,,,,,Emory University,Sydney Rosenkrantz,Aubrey Blanchard,,,,False
33:30:00,,,,Emory University substitution: Natalie Klar for Caroline Kolski.,,Emory University substitution: Natalie Klar for Caroline Kolski.,1,,,,,,,Emory University,Natalie Klar,Caroline Kolski,,,,False
33:30:00,,,,Emory University substitution: Samantha Agnew for Samantha Hilsee.,,Emory University substitution: Samantha Agnew for Samantha Hilsee.,1,,,,,,,Emory University,Samantha Agnew,Samantha Hilsee,,,,False
33:54:00,,,,"Shot by Emory University Samantha Agnew, Save (by goalie) Jonelle Barron.",,"Shot by Emory University Samantha Agnew, Save (by goalie) Jonelle Barron.",1,,,,Emory,University Samantha Agnew,Save (by goalie) Jonelle Barron.,,,,,,,False
36:10:00,"Shot by Centre College Alana Hughes, Save (by goalie) Haley Pratt.",,,,,"Shot by Centre College Alana Hughes, Save (by goalie) Haley Pratt.",1,,,,Centre,College Alana Hughes,Save (by goalie) Haley Pratt.,,,,,,,False
--,,,,Foul on Emory University.,,Foul on Emory University.,1,,,,,,,,,,,,,False
37:08:00,"Header Shot by Centre College Alana Hughes, Save (by goalie) Haley Pratt.",,,,,"Header Shot by Centre College Alana Hughes, Save (by goalie) Haley Pratt.",1,,,,Centre,College Alana Hughes,Save (by goalie) Haley Pratt.,,,,,,,False
