Player,Team,Corner Kicks,Shots,Goals,Assists
Centre,College Alana Hughes,1.0,1.0,0.0,0.0
Emory,University Shivani Beall,1.0,0.0,0.0,0.0
College Alana Hughes,Centre,0.0,0.0,4.0,0.0
College Brooke Smithson,Centre,0.0,0.0,1.0,0.0
College Meghan Paynter,Centre,0.0,0.0,2.0,0.0
College Sarah Sirkin,Centre,0.0,0.0,3.0,0.0
College Taylor Gebhart,Centre,0.0,0.0,1.0,0.0
University Arielle Williamson,Emory,0.0,0.0,3.0,0.0
University Aubrey Blanchard,Emory,0.0,0.0,2.0,0.0
University Caroline Kolski,Emory,0.0,0.0,3.0,0.0
University Kylie Hall,Emory,0.0,0.0,2.0,0.0
University Lindsey Breskow,Emory,0.0,0.0,1.0,0.0
University Natalie Klar,Emory,0.0,0.0,3.0,0.0
University Peyton Robertson,Emory,0.0,0.0,1.0,0.0
University Samantha Agnew,Emory,0.0,0.0,1.0,0.0
University Samantha Hilsee,Emory,0.0,0.0,1.0,0.0
University Shivani Beall,Emory,0.0,0.0,3.0,0.0
Gracie Fitzgerald,Away,0.0,0.0,0.0,1.0
